word,zipf
considerably,4.0000
distinctive,4.0000
institutional,4.0000
karl,4.0000
louise,4.0000
westminster,4.0000
accurately,3.9900
alfred,3.9900
bernie,3.9900
inappropriate,3.9900
luis,3.9900
reid,3.9900
uncertain,3.9900
bryan,3.9800
claire,3.9800
cyber,3.9800
desperately,3.9800
financially,3.9800
irrelevant,3.9800
martha,3.9800
mercedes,3.9800
raymond,3.9800
seasonal,3.9800
travelled,3.9800
continuously,3.9700
fortunate,3.9700
fortunately,3.9700
inclusive,3.9700
joel,3.9700
memorable,3.9700
tactical,3.9700
thereafter,3.9700
architectural,3.9600
casey,3.9600
explicitly,3.9600
janet,3.9600
katie,3.9600
maritime,3.9600
monica,3.9600
rebecca,3.9600
substantially,3.9600
supposedly,3.9600
unto,3.9600
adrian,3.9500
ambitious,3.9500
dramatically,3.9500
elegant,3.9500
frederick,3.9500
internationally,3.9500
philosophical,3.9500
shane,3.9500
toyota,3.9500
wang,3.9500
annie,3.9400
consequently,3.9400
curtis,3.9400
incorrect,3.9400
jun,3.9400
lou,3.9400
optimal,3.9400
sci,3.9400
automotive,3.9300
ibm,3.9300
vladimir,3.9300
beautifully,3.9200
biblical,3.9200
competent,3.9200
essex,3.9200
gabriel,3.9200
leon,3.9200
marco,3.9200
sharon,3.9200
winston,3.9200
albeit,3.9100
carson,3.9100
charitable,3.9100
christine,3.9100
continually,3.9100
enjoyable,3.9100
recreational,3.9100
richardson,3.9100
ricky,3.9100
ronald,3.9100
transgender,3.9100
accountable,3.9000
confidential,3.9000
eva,3.9000
individually,3.9000
inevitably,3.9000
jeffrey,3.9000
kenneth,3.9000
leslie,3.9000
persistent,3.9000
riley,3.9000
sebastian,3.9000
terrific,3.9000
vince,3.9000
walt,3.9000
cellular,3.8900
destructive,3.8900
isnt,3.8900
positively,3.8900
sincerely,3.8900
andrea,3.8800
beatles,3.8800
critically,3.8800
dem,3.8800
ferguson,3.8800
kurt,3.8800
selective,3.8800
undoubtedly,3.8800
abusive,3.8700
beverly,3.8700
boris,3.8700
extensively,3.8700
illegally,3.8700
informal,3.8700
learnt,3.8700
mia,3.8700
optimistic,3.8700
promotional,3.8700
unacceptable,3.8700
underway,3.8700
behavioral,3.8600
brett,3.8600
covid,3.8600
fictional,3.8600
ivan,3.8600
joyce,3.8600
lynn,3.8600
manuel,3.8600
prestigious,3.8600
trevor,3.8600
youre,3.8600
andre,3.8500
autonomous,3.8500
favorable,3.8500
geographical,3.8500
governmental,3.8500
herbert,3.8500
incomplete,3.8500
lang,3.8500
sherman,3.8500
successive,3.8500
walsh,3.8500
enthusiastic,3.8400
felix,3.8400
milton,3.8400
miranda,3.8400
nash,3.8400
nationally,3.8400
nobel,3.8400
que,3.8400
sox,3.8400
vic,3.8400
wendy,3.8400
ahmed,3.8300
boyd,3.8300
cyrus,3.8300
diane,3.8300
economically,3.8300
floyd,3.8300
inherent,3.8300
katherine,3.8300
liz,3.8300
notorious,3.8300
olivia,3.8300
organizational,3.8300
capita,3.8200
christina,3.8200
collectively,3.8200
evolutionary,3.8200
fraser,3.8200
geological,3.8200
intentionally,3.8200
tracy,3.8200
unprecedented,3.8200
alternatively,3.8100
asap,3.8100
bruno,3.8100
eleanor,3.8100
homemade,3.8100
honorable,3.8100
infectious,3.8100
lindsay,3.8100
nate,3.8100
reluctant,3.8100
respiratory,3.8100
shawn,3.8100
stephanie,3.8100
allan,3.8000
boeing,3.8000
clara,3.8000
colorful,3.8000
decisive,3.8000
decorative,3.8000
eugene,3.8000
ironic,3.8000
maggie,3.8000
natalie,3.8000
pablo,3.8000
predominantly,3.8000
sandra,3.8000
sufficiently,3.8000
trent,3.8000
unpleasant,3.8000
unrelated,3.8000
darren,3.7900
efficiently,3.7900
elliott,3.7900
inconsistent,3.7900
int,3.7900
iso,3.7900
northwestern,3.7900
patriotic,3.7900
traumatic,3.7900
abbott,3.7800
allergic,3.7800
constructive,3.7800
definite,3.7800
developmental,3.7800
dorothy,3.7800
ecological,3.7800
elvis,3.7800
foremost,3.7800
parental,3.7800
questionable,3.7800
quo,3.7800
simmons,3.7800
unwanted,3.7800
vernon,3.7800
aaa,3.7700
abundant,3.7700
carrie,3.7700
clifford,3.7700
delightful,3.7700
fundamentally,3.7700
ideological,3.7700
insufficient,3.7700
kai,3.7700
maternal,3.7700
mcdonald,3.7700
miguel,3.7700
nigel,3.7700
outrageous,3.7700
remarkably,3.7700
theological,3.7700
undercover,3.7700
alison,3.7600
brooke,3.7600
claude,3.7600
dawson,3.7600
dunno,3.7600
eds,3.7600
freddie,3.7600
gerald,3.7600
horrific,3.7600
maurice,3.7600
patricia,3.7600
phenomenal,3.7600
photographic,3.7600
predictable,3.7600
prix,3.7600
professionally,3.7600
shannon,3.7600
statutory,3.7600
tina,3.7600
unusually,3.7600
zach,3.7600
bradford,3.7500
chloe,3.7500
disciplinary,3.7500
govt,3.7500
infamous,3.7500
inspirational,3.7500
internally,3.7500
knox,3.7500
leigh,3.7500
lifelong,3.7500
noticeable,3.7500
omar,3.7500
paula,3.7500
remotely,3.7500
rita,3.7500
samantha,3.7500
unreasonable,3.7500
alexis,3.7400
appropriately,3.7400
arrogant,3.7400
bella,3.7400
comfortably,3.7400
doyle,3.7400
dwight,3.7400
elliot,3.7400
exceptionally,3.7400
fernando,3.7400
ironically,3.7400
jonas,3.7400
meta,3.7400
mit,3.7400
unchanged,3.7400
understandable,3.7400
analytical,3.7300
arlington,3.7300
bacterial,3.7300
carey,3.7300
castro,3.7300
clayton,3.7300
eventual,3.7300
franco,3.7300
mann,3.7300
quantitative,3.7300
shirley,3.7300
unsuccessful,3.7300
amino,3.7200
bilateral,3.7200
ernest,3.7200
inflammatory,3.7200
insecure,3.7200
intentional,3.7200
marilyn,3.7200
michel,3.7200
occupational,3.7200
radioactive,3.7200
rang,3.7200
rory,3.7200
stefan,3.7200
unfinished,3.7200
unlawful,3.7200
unpopular,3.7200
versa,3.7200
voluntarily,3.7200
bon,3.7100
dept,3.7100
eco,3.7100
hazardous,3.7100
indirectly,3.7100
irene,3.7100
irving,3.7100
jacques,3.7100
jong,3.7100
preferably,3.7100
respectful,3.7100
rodriguez,3.7100
routinely,3.7100
spontaneous,3.7100
teresa,3.7100
theresa,3.7100
tri,3.7100
unexpectedly,3.7100
val,3.7100
vera,3.7100
auckland,3.7000
corey,3.7000
ethan,3.7000
hyde,3.7000
responsive,3.7000
sidney,3.7000
sophia,3.7000
sur,3.7000
brendan,3.6900
carlo,3.6900
cornell,3.6900
invasive,3.6900
martinez,3.6900
negatively,3.6900
ramsey,3.6900
rhodes,3.6900
wasnt,3.6900
archaeological,3.6800
byron,3.6800
cardiovascular,3.6800
communal,3.6800
disastrous,3.6800
erik,3.6800
erin,3.6800
gerard,3.6800
investigative,3.6800
rigorous,3.6800
skeptical,3.6800
unanimous,3.6800
acc,3.6700
commercially,3.6700
honourable,3.6700
imminent,3.6700
kathy,3.6700
malicious,3.6700
muscular,3.6700
notre,3.6700
rafael,3.6700
randall,3.6700
roberto,3.6700
rodney,3.6700
statistically,3.6700
susceptible,3.6700
theodore,3.6700
wong,3.6700
courtney,3.6600
debbie,3.6600
deutsche,3.6600
exp,3.6600
genetically,3.6600
ineffective,3.6600
jerome,3.6600
julius,3.6600
lester,3.6600
marvin,3.6600
pence,3.6600
percy,3.6600
ppl,3.6600
roland,3.6600
southeastern,3.6600
theo,3.6600
unofficial,3.6600
versatile,3.6600
clare,3.6500
drastically,3.6500
edwin,3.6500
formidable,3.6500
hague,3.6500
herman,3.6500
inaccurate,3.6500
indefinitely,3.6500
jules,3.6500
katy,3.6500
kirby,3.6500
laurie,3.6500
numerical,3.6500
vocational,3.6500
adequately,3.6400
alicia,3.6400
amazingly,3.6400
barrett,3.6400
culturally,3.6400
disrespectful,3.6400
forex,3.6400
geoffrey,3.6400
goodnight,3.6400
hawkins,3.6400
koch,3.6400
marty,3.6400
northeastern,3.6400
nutritional,3.6400
serena,3.6400
theoretically,3.6400
transitional,3.6400
unused,3.6400
aggressively,3.6300
anita,3.6300
becky,3.6300
coherent,3.6300
conrad,3.6300
edmund,3.6300
emerson,3.6300
gigantic,3.6300
harriet,3.6300
holden,3.6300
inactive,3.6300
lana,3.6300
peacefully,3.6300
periodic,3.6300
saunders,3.6300
statewide,3.6300
unavailable,3.6300
universally,3.6300
abe,3.6200
beforehand,3.6200
bipolar,3.6200
clive,3.6200
computational,3.6200
conceptual,3.6200
danielle,3.6200
empirical,3.6200
hath,3.6200
labelled,3.6200
metabolic,3.6200
mohammad,3.6200
rectangular,3.6200
rudy,3.6200
tha,3.6200
unanimously,3.6200
undefeated,3.6200
unfamiliar,3.6200
adaptive,3.6100
addictive,3.6100
buenos,3.6100
deborah,3.6100
dominic,3.6100
fraudulent,3.6100
hypothetical,3.6100
informative,3.6100
katrina,3.6100
reminiscent,3.6100
suicidal,3.6100
unidentified,3.6100
adjustable,3.6000
avery,3.6000
bedford,3.6000
benson,3.6000
breathtaking,3.6000
cinematic,3.6000
dundee,3.6000
elaine,3.6000
evelyn,3.6000
evidently,3.6000
humorous,3.6000
